,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,2018,ACURA RDX,3.5,60,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,20.0,28.0,23.0,5,No
1,2018,ACURA RDX,3.5,60,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,20.0,28.0,23.0,5,No
2,2018,ACURA RDX,3.5,60,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,19.0,27.0,22.0,4,No
3,2018,ACURA RDX,3.5,60,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,19.0,27.0,22.0,4,No
4,2018,ACURA TLX,2.4,40,AMS-8,2WD,Gasoline,CA,small car,3.0,23.0,33.0,27.0,6,No
5,2018,ACURA TLX,2.4,40,AMS-8,2WD,Gasoline,FA,small car,3.0,23.0,33.0,27.0,6,No
6,2018,ACURA TLX,3.5,60,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20.0,32.0,24.0,5,No
7,2018,ACURA TLX,3.5,60,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20.0,32.0,24.0,5,No
8,2018,ACURA TLX,3.5,60,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,21.0,30.0,24.0,5,No
9,2018,ACURA TLX,3.5,60,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,21.0,30.0,24.0,5,No
10,2018,ACURA TLX AWD A-SPEC,3.5,60,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,20.0,29.0,23.0,5,No
11,2018,ACURA TLX AWD A-SPEC,3.5,60,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,20.0,29.0,23.0,5,No
12,2018,ACURA TLX FWD A-SPEC,3.5,60,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20.0,30.0,23.0,5,No
13,2018,ACURA TLX FWD A-SPEC,3.5,60,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20.0,30.0,23.0,5,No
